source,target,weight
add potato,use knife,3
add carrot,cook with steel,2
add carrot,use color,3
add vegetable,cut in half,7
add vegetable,cook with steel,3
add ingredient,add vegetable,5
add ingredient,cook with steel,2
add sausage,cook with steel,3
add to pan,cook with steel,5
add ingredient,add to pan,4
add sausage,add to pan,2
add garlic,add sausage,2
add water,use bottle,8
add water,use cleaner,3
add water,clean kitchen,5
add water,clean floor,10
add water,clean house,2
clean kitchen,use cleaner,2
clean floor,use cleaner,6
clean house,use cleaner,6
clean floor,clean kitchen,11
clean house,clean kitchen,6
clean floor,clean house,12
eat dinner,eat fish,2
add oil,use leftover,4
add oil,put trade,3
add fat,add water,3
add fat,add salt,2
add fat,add protein,5
add salt,add water,10
add protein,add water,7
add protein,add salt,5
add oil,add veggie,7
add yeast,use color,2
add cheese,add oil,2
add cheese,cook pasta,3
add oil,use retinol,3
add green,add oil,2
add oil,cook pasta,14
add sweetener,add water,3
add egg,add onion,5
add onion,add to pan,27
add egg,add to pan,12
add egg,add vegetable,7
add egg,add oil,28
add egg,use type,7
add to pan,add vegetable,7
add oil,add to pan,27
add to pan,use type,6
add salt,add to pan,8
add oil,add vegetable,12
add salt,add vegetable,9
add oil,use type,27
add oil,add salt,34
add oil,use rice,11
add salt,use type,8
use rice,use type,3
add salt,use rice,9
add garlic,add salt,12
add garlic,use rice,4
add garlic,add sauce,6
add sauce,use mortar,2
add egg,add sauce,3
use mortar,use rice,2
add egg,use rice,19
add sauce,use rice,11
add sauce,use in kitchen,2
add chicken,add sauce,13
add broccoli,add vegetable,5
add flavor,use mushroom,4
add vegetable,use mushroom,4
add flavor,add vegetable,4
add broccoli,add oil,7
add oil,use recipe,12
add egg,add salt,15
add egg,add pepper,8
add pepper,add salt,12
add cheese,add garlic,3
add salt,use for while,2
add salt,cook on side,6
add green,add salt,3
add green,cook on side,2
add spinach,cook on side,2
add green,add spinach,5
add fat,add green,2
add fat,add spinach,5
add egg,add spinach,2
add oil,add spinach,2
add egg,add green,2
add egg,add fat,5
add fat,add oil,13
add ice,add oil,2
add oil,put lid,11
add oil,boil water,4
add egg,add ice,2
add egg,put lid,8
add egg,boil water,10
add ice,put lid,3
add ice,boil water,2
add water,put lid,11
add water,boil water,10
add oil,add water,43
add oil,lift torso,2
add egg,add potato,17
add egg,use ton,4
add potato,use ton,2
add water,use ton,4
add egg,add water,22
add water,use butter,11
add egg,use butter,16
cook on side,use butter,3
add egg,cook on side,4
add dressing,use bottle,2
add onto baking dish,use bottle,2
add chicken,put side,2
add chicken,use rice,10
add honey,cut in half,2
add salt,add seasoning,2
add bit,add salt,4
add bit,cook pasta,6
add salt,cook pasta,6
add salt,drain water,2
cook pasta,drain water,2
cook pasta,use hummus,2
add pepper,use hummus,4
add chicken,chop lettuce,4
add chicken,add cilantro,3
add cilantro,spritz face,2
use type,use yogurt,5
use acid,use vitamin,2
use vitamin,wear sunscreen,2
use acid,wear sunscreen,2
curl eyelash,use mascara,29
curl eyelash,wash hair,2
curl eyelash,use shampoo,2
use shampoo,wash hair,25
add stock,add tomato,7
add stock,add veggie,2
add tomato,add veggie,3
add potato,add salt,15
add oil,add potato,17
add potato,boil water,2
add potato,add veggie,9
add dressing,add tomato,2
add dressing,add oil,3
add to pan,use bread,4
add oil,use bread,6
add oil,eat dairy,2
add cheese,eat dairy,5
add potato,put lid,3
put lid,use butter,4
add potato,use butter,3
add salt,use butter,11
add cheese,add yeast,6
add to pan,add to plate,5
add onion,use can,5
add oil,add onion,30
add oil,use can,5
add salt,use can,3
add salt,add tomato,11
add spice,add tomato,4
add tomato,toast slice,2
add liquid,add spice,2
add spice,toast slice,2
add chili flake,add spice,2
add chili flake,toast slice,2
add dash,add spinach,2
add water,work way,2
add water,put phone,4
add date,use milk,5
use glass,use milk,4
add date,use glass,2
work from home,work way,3
set for hour,work from home,2
add water,use milk,16
add oil,use milk,15
add protein,eat amount,4
add oil,add protein,9
use mushroom,use type,2
add oil,use mushroom,11
add salt,use mushroom,3
add salt,add sauce,8
add bean,add flavor,7
add flavor,add sausage,2
add flavor,add sauce,5
add water,cut in half,8
add layer,add sauce,5
add spinach,boil pasta,2
add sauce,add spinach,2
add sauce,use point,2
add oil,use point,3
use berry,use yogurt,2
eat breakfast,eat dinner,3
add water,burn hand,8
add water,clean fridge,2
add carrot,add vegetable,6
add garlic,add yeast,2
add cheese,add frittata mix,2
add vegetable,put food,5
add vegetable,cook on stove,5
cook on stove,eat food,7
add vegetable,eat food,12
catch breath,drink coffee,2
add fat,eat food,5
add fat,add sugar,2
add sugar,eat food,3
add ingredient,use milk,8
use baby,use milk,2
add protein,use milk,4
add egg,eat meat,4
eat food,fill space,2
clean floor,use can,2
add bean,use can,11
add onion,add sauce,7
add onion,add topping,7
add sauce,add topping,7
add pepper,add sauce,2
