source,target,weight
open door,open drawer,113
open door,take cup,10
open cupboard,open door,54
open container,open door,4
close lid,open door,11
open door,take plate,48
close fridge,open door,99
open door,take fork,31
open door,put down fork,39
open door,take spatula,22
open door,take container,6
open door,open fridge,142
open door,take saucepan,28
open door,put down saucepan,20
open door,put down cutting board,17
open door,put down oil,13
close cupboard,open door,35
open door,put down salt,12
open door,take spoon,63
open door,put down spoon,38
adjust hob,open door,1
open door,put down spatula,17
open door,take knife,32
close door,open door,229
open door,put down knife,38
close drawer,open door,68
open door,take bottle,32
open door,take glass,23
open door,put down glass,6
open door,open tap,107
close container,open door,2
open door,put down bottle,5
open door,turn off hob,18
close tap,open door,91
open door,put down container,8
open door,put down plate,41
open door,take pan,27
open door,put down pan,21
open door,turn on hob,18
cut onion,open door,36
open drawer,take cup,24
open cupboard,open drawer,1018
open container,open drawer,62
close lid,open drawer,58
open drawer,take plate,91
close fridge,open drawer,406
open drawer,open drawer,558
open drawer,take fork,156
open drawer,put down fork,214
open drawer,take spatula,62
open drawer,take container,30
open drawer,open fridge,551
open drawer,take saucepan,47
open drawer,put down saucepan,46
open drawer,put down cutting board,89
open drawer,put down oil,49
close cupboard,open drawer,658
open drawer,put down salt,42
open drawer,take spoon,82
open drawer,put down spoon,285
adjust hob,open drawer,95
open drawer,put down spatula,217
open drawer,take knife,120
open cupboard,take cup,25
open container,take cup,5
close lid,take cup,5
take cup,take plate,11
open container,open cupboard,69
close lid,open cupboard,61
open cupboard,take plate,138
close lid,open container,8
open container,take plate,3
close lid,take plate,9
close fridge,take fork,41
close fridge,put down fork,38
close fridge,take spatula,27
close fridge,take container,18
close fridge,open fridge,768
close fridge,close fridge,147
close fridge,open cupboard,502
close fridge,take saucepan,15
close fridge,put down saucepan,21
close fridge,put down cutting board,23
close fridge,put down oil,16
close cupboard,close fridge,318
close fridge,put down salt,23
close fridge,take spoon,43
close fridge,put down spoon,60
adjust hob,close fridge,10
close fridge,put down spatula,34
close fridge,take knife,89
put down fork,take fork,294
take fork,take spatula,7
take container,take fork,4
open fridge,take fork,52
put down fork,take spatula,3
put down fork,take container,3
open fridge,put down fork,54
take container,take spatula,19
open fridge,take spatula,58
take spatula,take spatula,38
open fridge,take container,25
open cupboard,take spatula,45
open cupboard,open cupboard,759
open cupboard,take saucepan,55
open cupboard,put down saucepan,54
open cupboard,put down cutting board,64
open cupboard,put down oil,51
close cupboard,open cupboard,1435
open cupboard,put down salt,43
open cupboard,take spoon,86
open cupboard,put down spoon,235
adjust hob,open cupboard,56
open cupboard,put down spatula,124
open cupboard,take knife,122
take saucepan,take spatula,16
put down saucepan,take spatula,9
put down saucepan,take saucepan,28
put down cutting board,put down oil,5
put down cutting board,take spatula,6
put down cutting board,put down cutting board,9
close cupboard,put down cutting board,48
put down cutting board,put down salt,5
put down cutting board,take spoon,14
put down cutting board,put down spoon,30
adjust hob,put down cutting board,6
put down cutting board,put down spatula,29
put down cutting board,take knife,28
put down oil,take spatula,6
close cupboard,put down salt,26
close cupboard,take spoon,80
close cupboard,put down spoon,155
close cupboard,take spatula,34
adjust hob,close cupboard,44
close cupboard,put down spatula,87
close cupboard,take knife,98
put down salt,take spoon,7
put down salt,put down spoon,23
put down spoon,take spoon,94
put down salt,take spatula,2
adjust hob,put down salt,3
put down salt,put down spatula,9
adjust hob,take spatula,13
put down spatula,take spatula,92
adjust hob,put down spatula,35
take knife,take spatula,42
put down spatula,take knife,40
take knife,take knife,41
close door,put down knife,32
close door,take spatula,18
close door,open cupboard,52
close door,close drawer,61
close door,take bottle,39
close door,put down spatula,43
close door,take spoon,49
close door,take glass,23
close door,put down glass,13
close door,open tap,68
close door,open drawer,76
close door,take container,8
close door,open container,3
close container,close door,2
close door,put down spoon,15
close door,put down bottle,3
close door,turn off hob,17
close door,take saucepan,23
close door,close tap,53
close door,put down saucepan,10
close door,open fridge,79
close door,put down container,6
close door,take plate,49
close door,put down plate,34
close door,take pan,27
close door,put down pan,13
close cupboard,close door,36
close door,turn on hob,7
close door,put down salt,8
close door,close fridge,61
close door,take knife,32
close door,cut onion,25
put down knife,take spatula,39
open cupboard,put down knife,305
close drawer,put down knife,222
put down knife,take bottle,5
put down knife,put down knife,162
put down knife,put down spatula,86
put down knife,take spoon,42
put down knife,take glass,20
put down glass,put down knife,110
open tap,put down knife,140
open drawer,put down knife,307
put down knife,take container,26
open container,put down knife,55
close container,put down knife,25
put down knife,put down spoon,129
put down bottle,put down knife,22
put down knife,turn off hob,17
put down knife,take saucepan,18
close tap,put down knife,93
put down knife,put down saucepan,23
close drawer,take spatula,37
close drawer,take bottle,8
close drawer,open cupboard,665
close drawer,close drawer,289
close drawer,put down spatula,147
close drawer,take spoon,65
close drawer,take glass,10
close drawer,put down glass,189
close drawer,open tap,288
close drawer,open drawer,1266
close drawer,take container,19
close drawer,open container,49
close container,close drawer,28
close drawer,put down spoon,184
close drawer,put down bottle,50
close drawer,turn off hob,27
close drawer,take saucepan,29
close drawer,close tap,218
close drawer,put down saucepan,26
take bottle,take spatula,4
open cupboard,take bottle,14
take spatula,take spoon,54
take glass,take spatula,10
put down glass,take spatula,11
put down spatula,take spoon,41
put down spatula,take glass,4
put down glass,put down spatula,43
take glass,take spoon,40
put down glass,take spoon,9
put down glass,take glass,25
open drawer,open tap,385
open tap,take spatula,10
open tap,put down spatula,17
open tap,take container,16
open container,open tap,34
close container,open tap,17
open tap,take spoon,77
open tap,put down spoon,122
open cupboard,open tap,291
open tap,put down bottle,38
open tap,put down glass,126
open tap,turn off hob,11
open tap,take saucepan,19
close tap,open tap,1679
open tap,put down saucepan,5
close container,open drawer,40
open drawer,put down bottle,70
open drawer,put down glass,234
open drawer,turn off hob,52
open container,take spatula,31
close container,take spatula,8
put down spoon,take spatula,49
put down bottle,take spatula,8
take spatula,turn off hob,12
put down spatula,take container,20
open container,put down spatula,60
close container,put down spatula,11
put down spatula,put down spatula,114
put down spatula,put down spoon,60
put down bottle,put down spatula,10
put down spatula,turn off hob,25
put down spatula,take saucepan,17
open container,take container,16
close container,take container,8
take container,take spoon,24
put down spoon,take container,17
open cupboard,take container,45
put down bottle,take container,4
put down glass,take container,9
take container,turn off hob,3
take container,take saucepan,7
close container,open container,25
open container,take spoon,21
open container,put down spoon,21
open container,put down bottle,5
open container,put down glass,15
open container,turn off hob,6
open container,take saucepan,7
close container,take spoon,10
close container,put down spoon,12
close container,open cupboard,56
close container,put down bottle,18
close container,put down glass,26
close container,turn off hob,7
close container,take saucepan,1
put down bottle,take spoon,8
take spoon,take spoon,81
take spoon,turn off hob,9
take saucepan,take spoon,19
put down bottle,put down spoon,41
put down glass,put down spoon,127
put down spoon,put down spoon,140
put down spoon,turn off hob,32
put down spoon,take saucepan,12
open cupboard,put down bottle,144
open cupboard,put down glass,313
open cupboard,turn off hob,49
put down bottle,put down glass,75
put down bottle,turn off hob,3
